,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
168,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-11.26,-0.71,0,0,
169,Navy,1891,2018,125,1272,678,549,52,.550,23,11,11,1,.477,4.02,1.40,13,0,
170,Nebraska,1900,2018,119,1234,862,363,38,.698,53,26,27,0,.491,10.83,3.71,48,43,record adjusted to 863-363-37 by NCAA
171,Nevada,1946,2018,32,375,206,174,0,.542,16,6,10,0,.375,-3.76,-5.73,1,7,
172,Nevada-Las Vegas,1978,2018,41,476,179,296,3,.378,4,3,1,0,.750,-9.32,-4.07,0,1,record adjusted to 168-307-3 by NCAA
173,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-11.44,-5.52,0,0,
174,New Mexico,1931,2018,87,943,398,534,17,.428,12,4,7,1,.375,-6.60,-4.05,0,4,
175,New Mexico State,1931,2018,85,904,314,579,14,.354,4,3,0,1,.833,-13.10,-7.71,1,4,record adjusted to 315-578-14 by NCAA
176,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
177,Newberry,1914,1925,11,86,34,48,4,.419,0,0,0,0,,-9.95,-5.22,0,0,
178,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
179,North Carolina,1902,2018,115,1189,647,514,48,.555,33,14,19,0,.424,4.68,2.87,16,7,record adjusted to 631-514-48 by NCAA
180,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
181,North Carolina State,1902,2018,113,1158,576,555,46,.509,32,17,14,1,.532,1.64,1.34,13,7,
182,North Texas,1953,2018,54,596,258,330,11,.440,9,2,7,0,.250,-7.92,-5.13,0,9,record adjusted to 261-327-11 by NCAA
183,Northern Arizona,1931,1952,19,152,49,91,12,.362,0,0,0,0,,-17.76,-11.75,0,0,
184,Northern Colorado,1923,1937,15,115,51,57,7,.474,0,0,0,0,,-10.73,-9.63,0,1,
185,Northern Illinois,1968,2018,51,592,289,300,4,.491,13,4,9,0,.333,-8.18,-7.22,1,4,
186,Northwestern,1892,2018,125,1233,535,659,40,.450,15,5,10,0,.286,2.94,5.46,11,8,record adjusted to 536-658-40 by NCAA
187,Northwestern State,1976,1979,4,41,19,22,0,.463,0,0,0,0,,-12.36,-8.13,0,0,
188,Notre Dame,1899,2018,112,1160,841,310,33,.724,37,18,19,0,.472,14.74,6.15,53,0,record adjusted to 820-310-33 by NCAA
189,Oglethorpe,1919,1925,7,69,31,35,3,.471,0,0,0,0,,-3.68,-1.98,0,0,
190,Ohio,1962,2018,57,645,281,357,9,.441,12,4,8,0,.273,-8.91,-6.68,1,3,
191,Ohio State,1904,2018,107,1094,803,258,36,.748,50,25,25,0,.490,14.96,5.91,57,37,record adjusted to 791-257-36 by NCAA
192,Oklahoma,1903,2018,110,1171,843,305,47,.725,52,29,22,1,.578,12.32,3.55,57,45,
193,Oklahoma State,1914,2018,105,1108,559,515,41,.520,29,19,10,0,.643,2.45,1.86,14,10,
194,Old Dominion,2014,2018,5,61,30,31,0,.492,1,1,0,0,1.000,-9.44,-6.06,0,0,
195,Ole Miss,1902,2018,113,1156,641,505,34,.558,37,24,13,0,.649,4.78,2.74,25,6,record adjusted to 645-501-34 by NCAA
196,Oregon,1916,2018,101,1063,579,455,34,.558,32,14,18,0,.452,5.39,3.34,16,11,record adjusted to 580-454-34 by NCAA
197,Oregon State,1916,2018,101,1058,460,564,36,.451,15,9,6,0,.600,1.69,3.64,10,5,record adjusted to 462-562-36 by NCAA
198,Pacific,1943,1995,47,496,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 210-279-9 by NCAA
199,Penn State,1889,2018,125,1249,865,383,37,.688,49,29,18,2,.604,9.12,2.20,42,4,
200,Pennsylvania,1876,1981,105,1026,618,369,40,.621,1,0,1,0,.000,3.31,-0.44,7,1,
201,Phillips,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
202,Pitt,1905,2018,114,1182,675,482,37,.581,34,13,21,0,.382,7.30,4.27,19,2,record adjusted to 676-481-37 by NCAA
203,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
204,Prairie View A&M,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
205,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
206,Princeton,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.01,-1.32,4,5,
207,Purdue,1892,2018,127,1212,603,563,48,.516,19,10,9,0,.500,5.66,4.54,17,8,record adjusted to 604-562-48 by NCAA
208,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
209,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
210,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
211,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
212,Rice,1914,2018,105,1104,464,616,32,.432,12,7,5,0,.583,-0.23,2.59,8,8,record adjusted to 465-615-32 by NCAA
213,Richmond,1909,1983,58,563,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
214,Rutgers,1869,2018,104,978,478,478,22,.500,10,6,4,0,.600,-3.12,-2.98,4,1,record adjusted to 479-477-22 by NCAA
215,Saint Louis,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
216,Saint Mary's (CA),1930,1950,20,179,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
217,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
218,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
219,San Diego State,1969,2018,50,588,323,261,8,.552,13,5,8,0,.417,-0.02,-1.81,2,9,record adjusted to 324-260-8 by NCAA
220,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
221,San Jose State,1950,2018,69,764,333,418,14,.444,8,5,3,0,.625,-5.72,-3.45,1,8,record adjusted to 334-417-14 by NCAA
222,Santa Clara,1932,1952,18,160,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
223,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
224,Sewanee,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.46,0.18,0,0,
225,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
226,SMU,1916,2018,101,1076,491,542,54,.477,16,7,8,1,.500,1.96,2.72,11,10,record adjusted to 487-536-54 by NCAA
227,South Alabama,2012,2018,7,87,32,55,0,.368,2,0,2,0,.000,-9.67,-4.68,0,0,
228,South Carolina,1903,2018,111,1159,575,546,41,.512,23,9,14,0,.364,2.15,1.71,9,1,record adjusted to 576-545-41 by NCAA
229,South Florida,2000,2018,19,231,133,98,0,.576,10,6,4,0,.556,0.51,-2.23,2,0,
230,Southern,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
231,Southern Illinois,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
232,Southern Mississippi,1963,2018,56,637,357,281,6,.559,21,11,10,0,.550,0.38,-1.79,3,5,record adjusted to 360-278-6 by NCAA
233,Southwestern (TX),1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
234,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
235,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
236,Stanford,1918,2018,98,1040,579,442,34,.565,29,15,13,1,.554,6.96,4.94,20,14,
237,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
238,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.32,-1.34,0,0,
239,Syracuse,1899,2018,117,1186,674,490,41,.576,26,16,9,1,.635,4.39,1.28,15,5,record adjusted to 663-490-41 by NCAA
240,Tampa,1966,1974,7,72,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
241,Temple,1930,2018,71,752,322,406,26,.444,8,3,5,0,.286,-2.81,-0.88,1,1,record adjusted to 317-411-26 by NCAA
242,Tennessee,1902,2018,114,1198,813,372,51,.678,52,28,24,0,.538,10.10,3.54,44,13,record adjusted to 814-372-50 by NCAA
243,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-13.94,-2.60,0,0,
244,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
