,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
88,Yale,1872,1955,82,737,555,137,45,.784,0,0,0,0,,10.84,1.50,3,0,
89,Princeton,1869,1955,83,682,505,134,43,.772,0,0,0,0,,9.53,0.81,4,0,
90,Pennsylvania,1876,1955,79,790,529,226,36,.692,1,0,1,0,.000,8.49,1.98,7,0,
91,Harvard,1875,1955,77,697,492,172,34,.729,1,1,0,0,1.000,7.37,0.24,0,0,
92,Cornell,1888,1955,67,601,385,191,25,.661,0,0,0,0,,6.47,-0.06,5,0,
93,Dartmouth,1881,1955,67,559,340,190,29,.634,0,0,0,0,,5.47,-0.35,4,0,
94,Brown,1878,1955,67,623,338,257,29,.565,1,0,1,0,.000,0.58,-1.68,0,0,
95,Columbia,1870,1955,58,462,219,214,30,.505,1,1,0,0,1.000,0.38,0.79,2,0,
96,Fordham,1909,1954,25,211,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
97,Virginia,1890,1953,35,315,196,104,15,.646,0,0,0,0,,3.86,-1.90,1,0,
98,Michigan State,1918,1952,28,241,154,71,17,.671,1,0,1,0,.000,7.97,1.50,5,0,
99,Santa Clara,1932,1952,18,160,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
100,Clemson,1902,1952,20,160,79,67,14,.538,0,0,0,0,,3.50,1.16,0,0,
101,Maryland,1917,1952,5,41,27,12,2,.683,0,0,0,0,,3.38,-1.78,1,0,
102,New York University,1927,1952,24,205,97,99,9,.495,0,0,0,0,,-4.24,-3.23,0,0,
103,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
104,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
105,Georgetown,1902,1950,36,311,184,110,19,.618,2,0,2,0,.000,2.75,-2.44,1,0,
106,Saint Mary's (CA),1930,1950,20,179,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
107,Duquesne,1933,1950,14,131,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
108,Nevada,1946,1950,5,49,31,20,0,.608,2,1,1,0,.500,-3.11,-8.65,0,0,
109,Montana State,1946,1947,2,18,9,8,2,.526,1,0,0,1,.500,-10.41,-11.11,0,2,
110,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
111,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
112,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.01,-2.59,0,0,
113,Bucknell,1888,1946,40,356,168,157,32,.515,1,1,0,0,1.000,-3.00,-2.93,0,0,
114,Great Lakes Navy,1918,1945,5,54,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
115,Colorado College,1902,1945,11,86,50,30,6,.616,0,0,0,0,,-0.49,-4.78,1,1,
116,Coast Guard,1944,1945,2,17,6,10,1,.382,0,0,0,0,,-4.68,-1.10,0,0,
117,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
118,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
119,Norman Naval Air Station,1944,1944,1,6,6,0,0,1.000,0,0,0,0,,18.01,3.51,1,0,
120,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
121,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
122,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
123,Amarillo Field,1944,1944,1,8,5,3,0,.625,0,0,0,0,,5.10,-1.78,0,0,
124,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
125,Alameda Coast Guard,1943,1944,2,15,8,4,3,.633,0,0,0,0,,-0.16,-5.13,0,0,
126,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
127,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
128,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
129,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
130,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
131,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
132,Camp Grant,1943,1943,1,10,2,6,2,.300,0,0,0,0,,8.98,14.38,0,0,
133,North Carolina Pre-Flight,1942,1943,2,18,10,6,2,.611,0,0,0,0,,3.20,2.00,0,0,
134,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
135,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
136,Sewanee,1902,1941,22,178,112,52,14,.669,0,0,0,0,,5.45,-0.43,0,0,
137,Centenary (LA),1930,1941,12,130,69,48,14,.580,1,0,0,1,.500,0.22,-1.79,0,0,
138,Gonzaga,1922,1941,16,140,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
139,Carnegie Mellon,1910,1940,20,171,84,75,13,.526,1,0,1,0,.000,3.99,1.51,1,0,
140,George Washington,1908,1940,10,90,56,27,7,.661,0,0,0,0,,2.77,-2.47,0,0,
141,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
142,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
143,Saint Louis,1907,1936,7,65,37,23,5,.608,0,0,0,0,,-1.42,-6.58,0,0,
144,Mercer,1909,1936,15,138,56,73,9,.438,0,0,0,0,,-3.92,-2.03,0,0,
145,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
